Date,pihClose,pihVolume,vnetClose,vnetVolume,twouClose,twouVolume,abilClose,abilVolume,xlrnClose,xlrnVolume,acrxClose,acrxVolume,akaoClose,akaoVolume,acrsClose,acrsVolume,admsClose,admsVolume,adapClose,adapVolume,adusClose,adusVolume,iotsClose,iotsVolume,adroClose,adroVolume,aeriClose,aeriVolume,afmdClose,afmdVolume,agrxClose,agrxVolume,agioClose,agioVolume,agncClose,agncVolume,agfsClose,agfsVolume,agfswClose,agfswVolume,aimtClose,aimtVolume,akbaClose,akbaVolume,akerClose,akerVolume,alrmClose,alrmVolume,aldrClose,aldrVolume
2008-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.672999999999999,0,,,,,,,,,,,,,,
2008-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4224,10944099,,,,,,,,,,,,,,
2008-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6681,2892620,,,,,,,,,,,,,,
2008-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4824,859379,,,,,,,,,,,,,,
2008-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4224,287039,,,,,,,,,,,,,,
2008-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3829,782722,,,,,,,,,,,,,,
2008-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2888,546986,,,,,,,,,,,,,,
2008-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.307,309511,,,,,,,,,,,,,,
2008-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3255,160287,,,,,,,,,,,,,,
2008-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3829,398483,,,,,,,,,,,,,,
2008-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5563,612678,,,,,,,,,,,,,,
2008-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5563,408370,,,,,,,,,,,,,,
2008-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5197,537179,,,,,,,,,,,,,,
2008-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3156,312677,,,,,,,,,,,,,,
2008-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3255,399772,,,,,,,,,,,,,,
2008-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4136,213394,,,,,,,,,,,,,,
2008-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2957,63083,,,,,,,,,,,,,,
2008-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2888,266142,,,,,,,,,,,,,,
2008-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.981,1111491,,,,,,,,,,,,,,
2008-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5785,790188,,,,,,,,,,,,,,
2008-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6097,471202,,,,,,,,,,,,,,
2008-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.544,224139,,,,,,,,,,,,,,
2008-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8276,161886,,,,,,,,,,,,,,
2008-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8547,200002,,,,,,,,,,,,,,
2008-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5357,450971,,,,,,,,,,,,,,
2008-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4751,221145,,,,,,,,,,,,,,
2008-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3789,251344,,,,,,,,,,,,,,
2008-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8657,447600,,,,,,,,,,,,,,
2008-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8125,361513,,,,,,,,,,,,,,
2008-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8276,378170,,,,,,,,,,,,,,
